ā,錒
jiè,藉
jīn,襟
jǐn,饉
jìn,齽
jīng,麠
jǐng,警
jìng,竸
jiōng,蘔
jiǒng,燛
jiū,鬮
jiǔ,韮
jiù,鷲
jū,鶋
jú,驧
jǔ,籧
jù,懼
juān,蠲
juǎn,臇
juàn,讂
juē,屫
jué,钁
juè,倔
jūn,麕
jùn,攟
kā,喀
kǎ,鉲
kāi,鐦
kǎi,颽
kài,鎎
kān,龕
kǎn,竷
kàn,矙
kāng,鱇
káng,扛
kàng,鈧
kāo,髛
kǎo,栲
kào,鯌
kē,礚
ké,揢
kě,嶱
kè,礊
kěn,懇
kèn,褃
kēng,鏗
kōng,鵼
kǒng,恐
kòng,鞚
kōu,瞘
kǒu,劶
kòu,鷇
kū,鮬
kǔ,楛
kù,嚳
kuā,誇
kuǎ,銙
kuà,骻
kuǎi,擓
kuài,鱠
kuān,髖
kuǎn,窾
kuāng,誆
kuáng,鵟
kuǎng,懭
kuàng,鑛
kuī,巋
kuí,躨
kuǐ,蹞
kuì,饋
kūn,鶤
kǔn,閸
kùn,睏
kuò,鬠
lā,邋
lá,嚹
lǎ,藞
là,鑞
lāi,铼
lái,籁
lǎi,襰
lài,籟
lán,韊
lǎn,纜
làn,钄
lāng,啷
láng,鎯
lǎng,朤
làng,閬
lāo,撈
láo,髝
lǎo,轑
lào,軂
lē,嘞
lè,鱳
lēi,勒
léi,鼺
lěi,鸓
lèi,禷
lēng,棱
léng,薐
lěng,冷
lèng,踜
lī,哩
lí,鸝
lǐ,欚
lì,靋
liǎ,俩
lián,籨
liǎn,蘝
liàn,纞
liáng,糧
liǎng,魎
liàng,鍄
liāo,蹽
liáo,鷯
liǎo,镽
liào,鐐
liě,裂
liè,鱲
līn,拎
lín,鱗
lǐn,癝
lìn,轥
líng,龗
lǐng,嶺
lìng,靈
liū,蹓
liú,驑
liǔ,嬼
liù,鷚
lóng,鸗
lǒng,竉
lòng,贚
lōu,瞜
lóu,鷜
lǒu,簍
lòu,露
lū,嚕
lú,黸
lǔ,鑥
lù,虂
lǘ,驢
lǚ,穭
lǜ,鑢
luán,鸞
luǎn,卵
luàn,亂
luè,鋢
lüè,圙
lūn,掄
lún,鯩
lǔn,稐
lùn,論
luō,囉
luó,囖
luǒ,癳
luò,纙
mā,摩
má,蟆
mǎ,鰢
mà,鬕
mái,霾
mǎi,鷶
mài,霢
mān,顢
mán,蠻
mǎn,矕
màn,鏝
māng,牤
máng,蘉
mǎng,蠎
māo,貓
máo,鶜
mǎo,蓩
mào,懋
méi,黴
měi,黣
mèi,篃
mēn,闷
mén,虋
mèn,懣
mēng,擝
méng,鸏
měng,鼆
mèng,霥
mī,瞇
mí,釄
mǐ,灖
mì,羃
mián,矏
miǎn,鮸
miàn,麵
miāo,喵
miáo,鶓
miǎo,邈
miào,廟
miē,孭
miè,鱴
mín,鍲
mǐn,鰵
míng,覭
mǐng,酩
mìng,命
miù,謬
mō,嚤
mó,饝
mǒ,懡
mò,耱
mōu,哞
móu,繆
mǒu,某
mú,模
mǔ,踇
mù,鞪
nā,南
ná,鎿
nǎ,雫
nà,魶
nái,孻
nǎi,嬭
nài,錼
nān,囡
nán,難
nǎn,戁
nàn,婻
nāng,囔
náng,饢
nǎng,灢
nàng,齉
nāo,孬
náo,巎
nǎo,碯
nào,臑
né,哪
nè,訥
něi,鯘
nèi,錗
nèn,嫰
néng,能
nī,妮
ní,臡
nǐ,聻
nì,檷
niān,蔫
nián,鯰
niǎn,躎
niàn,艌
niáng,孃
niàng,釀
niǎo,嬲
niào,溺
niē,揑
nié,苶
niè,钀
nín,您
nǐn,拰
níng,鸋
nǐng,矃
nìng,濘
niū,妞
niú,汼
niǔ,靵
niù,拗
nóng,鬞
nǒng,繷
nòng,齈
nóu,羺
nòu,鐞
nú,駑
nǔ,胬
nù,搙
nǚ,釹
nǜ,衄
nuán,奻
nuǎn,餪
nüè,虐
nuó,儺
nuò,糯
nún,黁
ō,噢
ó,哦
ōu,鷗
ǒu,藕
òu,漚
pā,葩
pá,x
pà,袙
pāi,拍
pái,簲
pǎi,排
pài,鎃
pān,攀
pán,鞶
pǎn,坢
pàn,鑻
pāng,霶
páng,鰟
pǎng,髈
pàng,眫
pāo,萢
páo,麅
pǎo,跑
pào,礮
pēi,醅
péi,錇
pěi,俖
pèi,轡
pēn,歕
pén,湓
pěn,翸
pèn,喷
pēng,磞
péng,鑝
pěng,皏
pèng,踫
pī,霹
pí,蠯
pǐ,嚭
pì,鷿
piān,鶣
pián,騈
piǎn,諞
piàn,騗
piāo,魒
piáo,闝
piǎo,皫
piào,鰾
piē,瞥
piě,鐅
piè,嫳
pīn,驞
pín,顰
pǐn,榀
pìn,聘
pīng,頩
píng,簈
pǐng,屛
pō,鏺
pó,嚩
pǒ,駊
pò,魄
pōu,娝
póu,箁
pǒu,犃
pū,鯆
pú,纀
pǔ,鐠
pù,曝
qī,鶈
qí,麡
qǐ,闙
qì,鐑
qiā,擖
qiá,拤
qiǎ,鞐
qià,髂
qiān,韆
qián,鰬
qiǎn,譴
qiàn,嬱
qiāng,鏘
qiáng,蘠
qiǎng,鏹
qiàng,羻
qiāo,鐰
qiáo,顦
qiǎo,髜
qiào,躈
qiē,切
qié,聺
qiě,且
qiè,竊
qīn,寴
qín,鵭
qǐn,螼
qìn,瀙
qīng,鑋
qíng,黥
qǐng,檾
qìng,儬
qiōng,銎
qióng,嬛
qiū,龝
qiú,鰽
qiǔ,糗
qū,鱋
qú,鸜
qǔ,齲
qù,覻
quān,鐉
quán,顴
quǎn,虇
quàn,勸
quē,阙
qué,瘸
què,礭
qūn,逡
qún,麇
rán,繎
rǎn,橪
rāng,嚷
ráng,鬤
rǎng,穰
ràng,讓
ráo,饒
rǎo,擾
rào,繞
rě,惹
rè,熱
rén,鵀
rěn,躵
rèn,認
rēng,扔
réng,陾
rèng,艿
rì,馹
róng,蠑
rǒng,氄
róu,鰇
rǒu,韖
ròu,譳
rú,鱬
rǔ,擩
rù,縟
ruán,壖
ruǎn,礝
ruí,蕤
ruǐ,壡
ruì,叡
rùn,膶
ruó,捼
ruò,鶸
sā,撒
sǎ,躠
sà,櫒
sāi,鰓
sài,簺
sān,鬖
sǎn,饊
sàn,閐
sāng,槡
sǎng,顙
sàng,丧
sāo,鱢
sǎo,嫂
sào,髞
sē,閪
sè,飋
sēn,襂
sēng,鬙
shā,繺
shá,啥
shǎ,儍
shà,霎
shāi,籭
shǎi,色
shài,曬
shān,羶
shǎn,覢
shàn,鱔
shāng,鬺
shǎng,鑜
shàng,鞝
shāo,鮹
sháo,韶
shǎo,少
shào,潲
shē,檨
shé,蛥
shě,捨
shè,欇
shéi,谁
shēn,鰺
shén,鰰
shěn,覾
shèn,瘮
shēng,鵿
shéng,譝
shěng,渻
shèng,賸
shī,釃
shí,鰣
shǐ,駛
shì,襫
shōu,收
shóu,熟
shǒu,艏
shòu,鏉
shū,鵨
shú,贖
shǔ,屬
shù,虪
shuā,唰
shuǎ,耍
shuà,誜
shuāi,摔
shuǎi,甩
shuài,卛
shuān,栓
shuàn,腨
shuāng,鸘
shuǎng,縔
shuàng,灀
shuí,誰
shuǐ,氺
shuì,睡
shūn,楯
shǔn,吮
shùn,鬊
shuō,說
shuò,鑠
sī,鼶
sǐ,死
sì,瀃
sōng,鬆
sǒng,d
sòng,餸
sōu,騪
sǒu,籔
sòu,擻
sū,囌
sú,俗
sù,鱐
suān,酸
suǎn,匴
suàn,算
suī,雖
suí,瓍
suǐ,髓
suì,韢
sūn,薞
sǔn,鶽
sùn,潠
suō,鮻
suǒ,鏁
suò,蜶
tā,踏
tǎ,鰨
tà,躢
tāi,胎
tái,籉
tǎi,呔
tài,燤
tān,癱
tán,罎
tǎn,璮
tàn,歎
tāng,鼞
táng,鶶
tǎng,钂
tàng,鐋
tāo,饕
táo,鼗
tǎo,討
tào,套
tè,蟘
tēng,鼟
téng,驣
tèng,霯
tī,鷈
tí,鷤
tǐ,體
tì,趯
tiān,靝
tián,鷏
tiǎn,錪
tiàn,舚
tiāo,聎
tiáo,鰷
tiǎo,嬥
tiào,糶
tiē,貼
tiě,驖
tiè,餮
tīng,廳
tíng,鼮
tǐng,頲
tìng,梃
tōng,樋
tóng,鮦
tǒng,綂
tòng,憅
tōu,鍮
tóu,頭
tǒu,蘣
tòu,透
tū,鼵
tú,鷵
tǔ,釷
tù,鵵
tuān,貒
tuán,鷻
tuǎn,疃
tuàn,褖
tuī,藬
tuí,蹪
tuǐ,骽
tuì,駾
tūn,暾
tún,臋
tǔn,氽
